,,measure
,,sum
addr_gu,addr_dong,
강남구,논현동,1188.08
강남구,대치동,26532.0
강남구,삼성동,139773.4
강남구,신사동,3232.98
강남구,압구정동,84450.28
강남구,역삼동,10348.0
강남구,청담동,3386.04
강동구,고덕동,719.46
강동구,길동,535.05
강동구,명일동,19869.71
강동구,성내동,2369.21
강동구,암사동,1451.88
강동구,천호동,98324.56999999996
강북구,미아동,70867.34
강북구,번동,5387.8
강북구,삼각산동,226.1
강북구,송중동,4834.6
강북구,수유동,8739.11
강서구,가양동,27299.29
강서구,과해동,0.0
강서구,등촌동,56720.21
강서구,마곡동,0.0
강서구,방화동,80372.0
강서구,화곡동,1568.0
관악구,남현동,14784.0
관악구,보라매동,21711.05
관악구,봉천동,14135.980000000001
관악구,서원동,16159.16
관악구,신림동,20270.61
관악구,은천동,414.86
관악구,중앙동,577.2
광진구,구의동,4122.0
광진구,자양동,37248.72
광진구,화양동,1162.0
구로구,개봉동,1051.0
구로구,고척동,13790.0
구로구,구로동,143606.2
구로구,신도림동,50328.15
구로구,오류동,4648.0
금천구,가산동,112350.22
금천구,독산동,143440.57
금천구,시흥동,29944.02
노원구,공릉동,1461.8999999999999
노원구,상계동,81250.2
노원구,월계동,54945.59
노원구,중계동,34700.67
노원구,하계동,20418.0
도봉구,방학동,16696.46
도봉구,쌍문동,705.1
도봉구,창동,10523.159999999998
동대문구,답십리동,967.51
동대문구,용두동,18996.87
동대문구,이문동,2622.8
동대문구,장안동,3709.46
동대문구,전농동,52958.399999999994
동대문구,제기동,21956.579999999998
동작구,대방동,331.34
동작구,사당동,5323.35
동작구,상도동,1320.83
마포구,공덕동,8126.96
마포구,동교동,48850.35
마포구,망원동,0.0
마포구,서교동,14201.0
마포구,성산동,30024.54
마포구,신공덕동,5687.96
마포구,신수동,1415.7800000000002
마포구,연남동,0.0
마포구,염리동,1077.0
마포구,합정동,0.0
서대문구,남가좌동,1100.0
서대문구,북가좌동,232.7
서대문구,연희동,3305.0
서대문구,창천동,35471.76
서대문구,홍제동,10219.0
서초구,반포동,60945.95
서초구,방배동,1244.2199999999998
서초구,방배본동,249.9
서초구,서초동,12066.12
서초구,양재동,9250.0
서초구,잠원동,27660.559999999998
성동구,금호동,2028.3
성동구,마장동,25910.0
성동구,성수동,20588.9
성동구,옥수동,378.11
성동구,왕십리동,264.3
성동구,용답동,0.0
성동구,행당동,11573.0
성북구,길음동,118307.45000000001
성북구,돈암동,14370.0
성북구,동선동,17056.0
성북구,동소문동,739.0
성북구,보문동,215.0
성북구,삼선동,149.49
성북구,석관동,1918.0
성북구,월곡동,17897.49
성북구,장위동,685.6
성북구,정릉동,257.0
성북구,하월곡동,10745.0
송파구,가락동,1235.92
송파구,거여동,835.0
송파구,문정동,102164.0
송파구,방이동,172.8
송파구,삼전동,199.1
송파구,석촌동,105.5
송파구,송파동,693.0
송파구,신천동,122980.34
송파구,오금동,1662.6
송파구,잠실동,97876.57
송파구,풍납동,627.3
양천구,목동,97626.61999999998
양천구,신월동,4453.87
양천구,신정동,1490.2399999999998
영등포구,당산동,0.0
영등포구,대림동,10237.34
영등포구,도림동,240.5
영등포구,문래동,55251.369999999995
영등포구,신길동,644.5
영등포구,양평동,8724.73
영등포구,여의도동,125396.20999999999
영등포구,영등포동,177349.08
용산구,남영동,121.7
용산구,보광동,2688.42
용산구,서계동,1209.2
용산구,용산동,11656.14
용산구,원효로,8382.6
용산구,이태원동,5419.26
용산구,한강로,297307.34
용산구,한남동,181.89
은평구,구산동,0.0
은평구,대조동,26323.18
은평구,불광동,11215.259999999998
은평구,수색동,6881.2
은평구,역촌동,3003.51
은평구,응암동,33615.21
은평구,진관내동,0.0
은평구,진관동,57505.0
종로구,서린동,6906.53
종로구,숭인동,1586.3
종로구,신문로,432.9
종로구,예지동,32257.5
종로구,종로,4674.66
중구,남대문로,13877.55
중구,명동,5835.93
중구,봉래동,34243.0
중구,신당동,25877.45
중구,을지로,57658.630000000005
중구,충무로,56336.98
중구,황학동,20144.48
중구,회현동,12585.13
중구,흥인동,4097.54
중랑구,망우동,9961.6
중랑구,면목동,9569.48
중랑구,묵동,10201.66
중랑구,상봉동,32394.93
중랑구,신내동,15237.0
중랑구,중화동,0.0
